annsoin;semsoin;_TYPE_;_FREQ_;nb_lignes
2010;0;0;306;130155
2010;1;0;317;1126334
2010;2;0;318;1035305
2010;3;0;319;1139125
2010;4;0;318;1237906
2010;5;0;321;1272103
2010;6;0;323;1180567
2010;7;0;323;1087040
2010;8;0;323;974767
2010;9;0;320;911037
2010;10;0;320;920760
2010;11;0;319;945532
2010;12;0;320;946472
2010;13;0;320;983094
2010;14;0;320;838354
2010;15;0;320;910195
2010;16;0;320;821760
2010;17;0;320;720061
2010;18;0;320;794684
2010;19;0;321;801653
2010;20;0;321;968209
2010;21;0;323;781626
2010;22;0;321;850290
2010;23;0;322;837518
2010;24;0;321;831015
2010;25;0;324;824883
2010;26;0;322;782233
2010;27;0;323;738118
2010;28;0;321;604616
2010;29;0;321;614578
2010;30;0;323;569871
2010;31;0;323;510858
2010;32;0;323;479958
2010;33;0;324;508964
2010;34;0;322;571048
2010;35;0;321;650942
2010;36;0;323;702605
2010;37;0;324;920181
2010;38;0;324;1072499
2010;39;0;324;1123401
2010;40;0;324;1086008
2010;41;0;324;1067365
2010;42;0;324;1050972
2010;43;0;324;954003
2010;44;0;324;812675
2010;45;0;324;791659
2010;46;0;324;910449
2010;47;0;324;1013431
2010;48;0;324;1116244
2010;49;0;324;1215030
2010;50;0;324;1315725
2010;51;0;324;1243585
2010;52;0;324;1141689
2011;0;0;302;39121
2011;1;0;316;1401299
2011;2;0;317;1246728
2011;3;0;318;1269442
2011;4;0;318;1348387
2011;5;0;321;1419671
2011;6;0;320;1385582
2011;7;0;323;1262668
2011;8;0;324;1107897
2011;9;0;323;993251
2011;10;0;323;949258
2011;11;0;324;937724
2011;12;0;323;958566
2011;13;0;324;1007322
2011;14;0;324;991773
2011;15;0;324;976947
2011;16;0;324;895835
2011;17;0;324;730695
2011;18;0;323;795645
2011;19;0;322;759828
2011;20;0;323;781572
2011;21;0;324;810352
2011;22;0;322;741200
2011;23;0;323;862858
2011;24;0;322;732631
2011;25;0;324;805155
2011;26;0;324;784989
2011;27;0;323;784782
2011;28;0;323;611396
2011;29;0;324;657171
2011;30;0;324;609393
2011;31;0;324;553513
2011;32;0;324;520421
2011;33;0;324;451048
2011;34;0;323;554726
2011;35;0;324;598306
2011;36;0;324;631436
2011;37;0;324;779470
2011;38;0;324;998910
2011;39;0;324;1062122
2011;40;0;324;1055071
2011;41;0;324;1037795
2011;42;0;324;1083534
2011;43;0;324;1027631
2011;44;0;324;865096
2011;45;0;324;831564
2011;46;0;324;1065278
2011;47;0;324;1125788
2011;48;0;324;1233753
2011;49;0;324;1284859
2011;50;0;324;1301626
2011;51;0;324;1246328
2011;52;0;324;1041897
2012;0;0;286;10377
2012;1;0;315;1162006
2012;2;0;317;1061671
2012;3;0;317;1137255
2012;4;0;319;1210444
2012;5;0;320;1256847
2012;6;0;321;1313498
2012;7;0;317;1379151
2012;8;0;323;1300402
2012;9;0;324;1140185
2012;10;0;323;1026071
2012;11;0;324;967675
2012;12;0;322;944714
2012;13;0;324;935228
2012;14;0;324;985618
2012;15;0;324;856769
2012;16;0;324;927824
2012;17;0;324;848139
2012;18;0;324;698987
2012;19;0;324;692484
2012;20;0;324;685920
2012;21;0;324;806021
2012;22;0;324;709670
2012;23;0;322;826906
2012;24;0;322;856151
2012;25;0;323;863942
2012;26;0;324;829190
2012;27;0;324;821584
2012;28;0;323;711317
2012;29;0;324;701502
2012;30;0;324;626205
2012;31;0;324;588709
2012;32;0;324;501998
2012;33;0;324;438643
2012;34;0;324;519425
2012;35;0;323;577411
2012;36;0;323;602971
2012;37;0;324;718186
2012;38;0;323;913710
2012;39;0;324;1015840
2012;40;0;324;1062835
2012;41;0;324;1057740
2012;42;0;324;1070690
2012;43;0;324;1031723
2012;44;0;324;896414
2012;45;0;324;979839
2012;46;0;324;911817
2012;47;0;324;969911
2012;48;0;324;1089875
2012;49;0;324;1177305
2012;50;0;324;1263870
2012;51;0;324;1391468
2012;52;0;324;1112726
2012;53;0;324;200659
2013;0;0;314;888784
2013;1;0;317;1189497
2013;2;0;315;1130692
2013;3;0;320;1315255
2013;4;0;320;1463825
2013;5;0;319;1465643
2013;6;0;322;1417314
2013;7;0;321;1307842
2013;8;0;321;1173119
2013;9;0;323;1057269
2013;10;0;321;919316
2013;11;0;323;902754
2013;12;0;324;946225
2013;13;0;324;880410
2013;14;0;324;990376
2013;15;0;324;880603
2013;16;0;324;809836
2013;17;0;324;710459
2013;18;0;323;572485
2013;19;0;324;806807
2013;20;0;324;722468
2013;21;0;324;893999
2013;22;0;324;883838
2013;23;0;324;877237
2013;24;0;324;796153
2013;25;0;324;785462
2013;26;0;324;767724
2013;27;0;324;720369
2013;28;0;324;658133
2013;29;0;324;605232
2013;30;0;324;572588
2013;31;0;323;502375
2013;32;0;324;417451
