annsoin;semsoin;_TYPE_;_FREQ_;nb_lignes
2010;0;0;20;28656
2010;1;0;24;149889
2010;2;0;24;189836
2010;3;0;24;257739
2010;4;0;24;274476
2010;5;0;24;266311
2010;6;0;24;241648
2010;7;0;24;200261
2010;8;0;24;156816
2010;9;0;24;147146
2010;10;0;24;164797
2010;11;0;24;177833
2010;12;0;24;184142
2010;13;0;24;192474
2010;14;0;24;165200
2010;15;0;24;162864
2010;16;0;24;135834
2010;17;0;24;118901
2010;18;0;24;142688
2010;19;0;24;162606
2010;20;0;24;173870
2010;21;0;24;142688
2010;22;0;24;157257
2010;23;0;24;163602
2010;24;0;24;168291
2010;25;0;24;164686
2010;26;0;24;143732
2010;27;0;24;130546
2010;28;0;24;93640
2010;29;0;24;80661
2010;30;0;24;70804
2010;31;0;24;61901
2010;32;0;24;54694
2010;33;0;24;53669
2010;34;0;24;57050
2010;35;0;24;65988
2010;36;0;24;102192
2010;37;0;24;161160
2010;38;0;24;184557
2010;39;0;24;189382
2010;40;0;24;192457
2010;41;0;24;206374
2010;42;0;24;209116
2010;43;0;24;193131
2010;44;0;24;133007
2010;45;0;24;145261
2010;46;0;24;189360
2010;47;0;24;242029
2010;48;0;24;269457
2010;49;0;24;284217
2010;50;0;24;308256
2010;51;0;24;309191
2010;52;0;24;227362
2011;0;0;20;10185
2011;1;0;23;178012
2011;2;0;24;209779
2011;3;0;24;255460
2011;4;0;24;272525
2011;5;0;24;277343
2011;6;0;24;266441
2011;7;0;24;237941
2011;8;0;24;207343
2011;9;0;24;173780
2011;10;0;24;150862
2011;11;0;24;156143
2011;12;0;24;179656
2011;13;0;24;188604
2011;14;0;24;189599
2011;15;0;24;190090
2011;16;0;24;173169
2011;17;0;24;125150
2011;18;0;24;119855
2011;19;0;24;121855
2011;20;0;24;141298
2011;21;0;24;152950
2011;22;0;24;143927
2011;23;0;24;144859
2011;24;0;24;127308
2011;25;0;24;144556
2011;26;0;24;143357
2011;27;0;24;138434
2011;28;0;24;96070
2011;29;0;24;84703
2011;30;0;24;77377
2011;31;0;24;70779
2011;32;0;24;62688
2011;33;0;24;50080
2011;34;0;24;57817
2011;35;0;24;61848
2011;36;0;24;76613
2011;37;0;24;144428
2011;38;0;24;190837
2011;39;0;24;204332
2011;40;0;24;207918
2011;41;0;24;214359
2011;42;0;24;234782
2011;43;0;24;221266
2011;44;0;24;151968
2011;45;0;24;154776
2011;46;0;24;238144
2011;47;0;24;278233
2011;48;0;24;305802
2011;49;0;24;312737
2011;50;0;24;308630
2011;51;0;24;302700
2011;52;0;24;198603
2012;0;0;20;2976
2012;1;0;22;134511
2012;2;0;24;153916
2012;3;0;24;210791
2012;4;0;24;228951
2012;5;0;24;236726
2012;6;0;24;230828
2012;7;0;24;235437
2012;8;0;24;210772
2012;9;0;24;171105
2012;10;0;24;147381
2012;11;0;24;149374
2012;12;0;24;161033
2012;13;0;24;170608
2012;14;0;24;176510
2012;15;0;24;149235
2012;16;0;24;147021
2012;17;0;24;127687
2012;18;0;24;104043
2012;19;0;24;100922
2012;20;0;24;111437
2012;21;0;24;124096
2012;22;0;24;119524
2012;23;0;24;142948
2012;24;0;24;155794
2012;25;0;24;159709
2012;26;0;24;150814
2012;27;0;24;144215
2012;28;0;24;114539
2012;29;0;24;93105
2012;30;0;24;75451
2012;31;0;24;68910
2012;32;0;24;55214
2012;33;0;24;46305
2012;34;0;24;49944
2012;35;0;24;55610
2012;36;0;24;61493
2012;37;0;24;114956
2012;38;0;24;157289
2012;39;0;24;166369
2012;40;0;24;180523
2012;41;0;24;191681
2012;42;0;24;210103
2012;43;0;24;218929
2012;44;0;24;209397
2012;45;0;24;168878
2012;46;0;24;143474
2012;47;0;24;215966
2012;48;0;24;282106
2012;49;0;24;289889
2012;50;0;24;290883
2012;51;0;24;304087
2012;52;0;24;249390
2012;53;0;24;39160
2013;0;0;22;111633
2013;1;0;24;123967
2013;2;0;23;156589
2013;3;0;24;204528
2013;4;0;24;224115
2013;5;0;24;225011
2013;6;0;24;213675
2013;7;0;24;197296
2013;8;0;24;168136
2013;9;0;24;135988
2013;10;0;24;123449
2013;11;0;24;136063
2013;12;0;24;161852
2013;13;0;24;148451
2013;14;0;24;159867
2013;15;0;24;152427
2013;16;0;24;133624
2013;17;0;24;104610
2013;18;0;24;87357
2013;19;0;24;109277
2013;20;0;24;110934
2013;21;0;24;144129
2013;22;0;24;145171
2013;23;0;24;142172
2013;24;0;24;134608
2013;25;0;24;137466
2013;26;0;24;131232
2013;27;0;24;119244
2013;28;0;24;92631
2013;29;0;24;75515
2013;30;0;24;69020
2013;31;0;24;57365
2013;32;0;24;46143
2013;33;0;24;48843
2013;34;0;24;50807
2013;35;0;24;57388
2013;36;0;24;109179
2013;37;0;24;156318
2013;38;0;24;171048
2013;39;0;24;172601
2013;40;0;24;181233
2013;41;0;24;189498
2013;42;0;24;178226
2013;43;0;24;123164
2013;44;0;24;122976
2013;45;0;24;153930
2013;46;0;24;207286
2013;47;0;24;235922
2013;48;0;24;250382
2013;49;0;24;260504
2013;50;0;24;282567
2013;51;0;24;249434
2013;52;0;24;81195
2014;0;0;20;80606
2014;1;0;22;123133
2014;2;0;24;155971
2014;3;0;24;203525
2014;4;0;24;217099
2014;5;0;24;218029
2014;6;0;24;210880
2014;7;0;24;199105
2014;8;0;24;172869
2014;9;0;24;143288
2014;10;0;24;122354
2014;11;0;24;126906
2014;12;0;24;144543
2014;13;0;24;154772
2014;14;0;24;155003
2014;15;0;24;155126
2014;16;0;24;117224
2014;17;0;24;102369
2014;18;0;24;87449
2014;19;0;24;95138
2014;20;0;24;110084
2014;21;0;24;118593
2014;22;0;24;129454
2014;23;0;24;105842
2014;24;0;24;125735
2014;25;0;24;123572
2014;26;0;24;122375
2014;27;0;24;117591
2014;28;0;24;77842
2014;29;0;24;75660
2014;30;0;24;64393
2014;31;0;24;52752
2014;32;0;24;42819
2014;33;0;24;45828
2014;34;0;24;48056
2014;35;0;24;55856
2014;36;0;24;98242
2014;37;0;24;127227
2014;38;0;24;143299
2014;39;0;24;156462
2014;40;0;24;179360
2014;41;0;24;187214
2014;42;0;24;177565
2014;43;0;24;125372
2014;44;0;24;121026
2014;45;0;24;148690
2014;46;0;24;203099
2014;47;0;24;236732
2014;48;0;24;262441
2014;49;0;24;276330
2014;50;0;24;286967
2014;51;0;24;236081
2014;52;0;24;108694
2015;0;0;20;53140
2015;1;0;22;128383
2015;2;0;22;171131
2015;3;0;24;220422
2015;4;0;24;234610
