annsoin;semsoin;_TYPE_;_FREQ_;nb_lignes
2010;0;0;125;10676
2010;1;0;143;123128
2010;2;0;143;105168
2010;3;0;141;100312
2010;4;0;146;99688
2010;5;0;145;104579
2010;6;0;144;100654
2010;7;0;143;104547
2010;8;0;141;104964
2010;9;0;140;98498
2010;10;0;142;91243
2010;11;0;139;91227
2010;12;0;142;89361
2010;13;0;141;85632
2010;14;0;137;73895
2010;15;0;139;86520
2010;16;0;139;84224
2010;17;0;141;73225
2010;18;0;142;73662
2010;19;0;141;69871
2010;20;0;138;87451
2010;21;0;141;73826
2010;22;0;142;76896
2010;23;0;139;73707
2010;24;0;139;72099
2010;25;0;142;71807
2010;26;0;140;67428
2010;27;0;135;63938
2010;28;0;136;54008
2010;29;0;138;59367
2010;30;0;134;55470
2010;31;0;135;50858
2010;32;0;135;48964
2010;33;0;132;52357
2010;34;0;133;57090
2010;35;0;137;61208
2010;36;0;138;63931
2010;37;0;136;73538
2010;38;0;141;86345
2010;39;0;141;94633
2010;40;0;141;99357
2010;41;0;138;98068
2010;42;0;139;96892
2010;43;0;140;86672
2010;44;0;137;79072
2010;45;0;137;74975
2010;46;0;135;81101
2010;47;0;138;78037
2010;48;0;137;76018
2010;49;0;140;85762
2010;50;0;140;94070
2010;51;0;140;89877
2010;52;0;137;96193
2011;0;0;116;2515
2011;1;0;143;145598
2011;2;0;147;120388
2011;3;0;142;106277
2011;4;0;143;100388
2011;5;0;140;100204
2011;6;0;144;106206
2011;7;0;144;106642
2011;8;0;141;97165
2011;9;0;143;91729
2011;10;0;145;94360
2011;11;0;142;95512
2011;12;0;138;89079
2011;13;0;139;86459
2011;14;0;141;85014
2011;15;0;139;86872
2011;16;0;146;85492
2011;17;0;145;73178
2011;18;0;138;82692
2011;19;0;141;77252
2011;20;0;140;73852
2011;21;0;133;72026
2011;22;0;139;62374
2011;23;0;135;78632
2011;24;0;140;66358
2011;25;0;142;73127
2011;26;0;140;67864
2011;27;0;137;68561
2011;28;0;142;58147
2011;29;0;135;68048
2011;30;0;140;61993
2011;31;0;139;56836
2011;32;0;137;55554
2011;33;0;135;48614
2011;34;0;138;56178
2011;35;0;139;57766
2011;36;0;138;60866
2011;37;0;136;64434
2011;38;0;141;75499
2011;39;0;141;81071
2011;40;0;138;84955
2011;41;0;139;86396
2011;42;0;142;91920
2011;43;0;139;90221
2011;44;0;142;82226
2011;45;0;141;81628
2011;46;0;142;95535
2011;47;0;139;92215
2011;48;0;139;92227
2011;49;0;140;99189
2011;50;0;143;107849
2011;51;0;144;109190
2011;52;0;136;102316
2012;0;0;106;717
2012;1;0;143;144151
2012;2;0;150;126863
2012;3;0;144;117832
2012;4;0;146;114423
2012;5;0;145;107256
2012;6;0;142;113199
2012;7;0;144;131032
2012;8;0;151;142495
2012;9;0;145;136225
2012;10;0;147;121440
2012;11;0;140;109096
2012;12;0;140;97407
2012;13;0;141;89677
2012;14;0;140;89316
2012;15;0;143;78784
2012;16;0;143;91775
2012;17;0;143;87868
2012;18;0;141;73834
2012;19;0;145;74659
2012;20;0;139;69235
2012;21;0;139;82681
2012;22;0;137;68016
2012;23;0;141;75892
2012;24;0;138;75197
2012;25;0;138;76125
2012;26;0;142;75946
2012;27;0;142;76725
2012;28;0;140;69779
2012;29;0;142;73154
2012;30;0;138;66768
2012;31;0;139;60879
2012;32;0;135;55874
2012;33;0;135;47749
2012;34;0;142;54161
2012;35;0;139;58059
2012;36;0;141;62121
2012;37;0;138;65179
2012;38;0;139;75554
2012;39;0;143;83335
2012;40;0;142;92760
2012;41;0;141;97293
2012;42;0;141;96756
2012;43;0;140;96940
2012;44;0;138;77929
2012;45;0;140;97532
2012;46;0;139;94152
2012;47;0;139;92295
2012;48;0;139;92847
2012;49;0;136;97673
2012;50;0;141;106478
2012;51;0;143;123342
2012;52;0;140;97365
2012;53;0;133;21591
2013;0;0;144;106758
2013;1;0;144;148519
2013;2;0;145;120872
2013;3;0;143;119823
2013;4;0;143;120137
2013;5;0;144;122266
2013;6;0;143;125201
2013;7;0;144;124100
2013;8;0;146;117970
2013;9;0;139;120122
2013;10;0;143;105302
2013;11;0;144;97778
2013;12;0;142;90674
2013;13;0;137;82723
2013;14;0;142;95656
2013;15;0;141;87635
2013;16;0;142;83218
2013;17;0;141;76978
2013;18;0;138;66502
2013;19;0;144;92561
2013;20;0;136;76018
2013;21;0;141;85149
2013;22;0;140;83758
2013;23;0;138;87085
2013;24;0;143;78388
2013;25;0;140;75359
2013;26;0;141;74812
2013;27;0;139;71617
2013;28;0;142;67011
2013;29;0;136;61242
2013;30;0;140;55054
2013;31;0;145;51139
2013;32;0;137;43950
2013;33;0;139;53489
2013;34;0;136;56134
2013;35;0;138;59763
2013;36;0;135;63223
2013;37;0;138;75043
2013;38;0;141;87105
2013;39;0;137;90144
2013;40;0;141;88194
2013;41;0;140;89792
2013;42;0;140;86674
2013;43;0;140;71047
2013;44;0;137;95352
2013;45;0;140;77867
2013;46;0;138;88339
2013;47;0;140;86913
2013;48;0;138;91416
2013;49;0;141;97425
2013;50;0;138;110600
2013;51;0;141;86570
2013;52;0;134;46412
2014;0;0;140;67709
2014;1;0;145;146220
2014;2;0;144;117616
2014;3;0;143;108327
2014;4;0;146;108335
2014;5;0;142;113815
2014;6;0;144;120128
2014;7;0;144;118293
2014;8;0;144;108129
2014;9;0;142;103041
2014;10;0;144;100857
2014;11;0;142;95690
2014;12;0;143;89586
2014;13;0;139;87946
2014;14;0;139;85535
2014;15;0;141;88534
2014;16;0;136;80269
2014;17;0;140;78623
2014;18;0;142;77204
2014;19;0;139;82946
2014;20;0;139;77226
2014;21;0;137;67566
